"brand","screen_tech","screensize","energy_consumpt","star2","count"
"aiwa","LCD",24,91,4.5,1
"aiwa","LCD (LED)",24,93.5,4.5,2
"aiwa","LCD (LED)",31,124.5,5.25,2
"aiwa","LCD (LED)",32,120.5,5.25,2
"aiwa","LCD",39,189,5,1
"aiwa","LCD (LED)",39,148,6,1
"aiwa","LCD (LED)",40,198,4.5,1
"aiwa","LCD (LED)",42,210,4.5,1
"aiwa","LCD (LED)",49,265,5,1
"aiwa","LCD (LED)",50,211,6,1
"aiwa","OLED",50,276,5,1
"aiwa","LCD",55,320,5,1
"aiwa","LCD",64,404,5.5,1
"aiwa","LCD (LED)",64,499,4.5,1
"aiwa","LCD (LED)",65,468,4.5,1
"aiwa","LCD (LED)",70,576,4.5,1
"akai","LCD (LED)",24,64,6,6
"akai","LCD",31,104,6,1
"akai","LCD",32,90,6,1
"akai","LCD (LED)",32,99.5,6,2
"akai","LCD",39,143.33333333333334,6,3
"akai","LCD",43,172,6,1
"akai","LCD",49,225,6,1
"akai","LCD",50,204,6,1
"akai","LCD (LED)",50,202,6,1
"akai","LCD",55,272,6,1
"akai","LCD (LED)",55,258,6,3
"akai","LCD (LED)",58,301,6,1
"akai","LCD",65,369,6,2
"akai","LCD (LED)",65,364.5,6,2
"akai","LCD",70,372,6,1
"akai","LCD",74,480,6,1
"akai","LCD (LED)",75,439,6,2
"akai","LCD",85,600,6,1
"altius","LCD",24,66,6,1
"altius","LCD",32,90,6,1
"altius","LCD (LED)",32,102,6,1
"aoa","LCD (LED)",19,58,5,1
"aoa","LCD",32,119,5,1
"aoa","LCD",40,176,5,1
"aoa","LCD (LED)",50,270,5,1
"avel innovations","LCD (LED)",24,90.5,4.5,2
"avel innovations","LCD (LED)",32,145,4.5,1
"bauhn","LCD",24,67,6,2
"bauhn","LCD (LED)",24,65,6,3
"bauhn","LCD",31,104,6,1
"bauhn","LCD (LED)",31,104,6,3
"bauhn","LCD",32,101,6,1
"bauhn","LCD (LED)",32,101.33333333333333,6,6
"bauhn","LCD",39,151,6,3
"bauhn","LCD (LED)",39,148.4,6,5
"bauhn","LCD (LED)",40,189,5,3
"bauhn","LCD",41,157,6,1
"bauhn","LCD",43,172,6,3
"bauhn","LCD (LED)",43,170,6,2
"bauhn","LCD",49,223.33333333333334,6,3
"bauhn","LCD (LED)",49,220,6,1
"bauhn","LCD",50,220,6,1
"bauhn","LCD (LED)",50,217.5,6,2
"bauhn","LCD",55,288.5,5.75,2
"bauhn","LCD (LED)",55,261.4,6,5
"bauhn","LCD",57,290.3333333333333,6,3
"bauhn","LCD",58,298,6,1
"bauhn","LCD (LED)",58,301,6,1
"bauhn","LCD",60,302.75,6,4
"bauhn","LCD",65,361.75,6,4
"bauhn","LCD (LED)",65,361.75,6,4
"bauhn","LCD",70,403,6,9
"bauhn","LCD (LED)",70,400,6,2
"bauhn","LCD",74,480,6,1
"bauhn","LCD",75,490,6,1
"bauhn","LCD (LED)",75,445.3333333333333,6,3
"bauhn","LCD (LED)",82,651,5.5,1
"bauhn","LCD",85,600,6,2
"blaupunkt","LCD",24,90.75,4.625,4
"blaupunkt","LCD (LED)",24,82.57142857142857,5.142857142857142,7
"blaupunkt","LCD",31,130,5,2
"blaupunkt","LCD",32,118,5.5,1
"blaupunkt","LCD (LED)",32,128.5,4.875,4
"blaupunkt","LCD",40,186,5,3
"blaupunkt","LCD (LED)",40,176,5,1
"blaupunkt","LCD (LED)",41,230,4.5,1
"blaupunkt","LCD",42,199,5,1
"blaupunkt","LCD (LED)",42,224,4.5,2
"blaupunkt","LCD (LED)",43,212,5,1
"blaupunkt","LCD (LED)",49,301.5,4.5,2
"blaupunkt","LCD (LED)",50,327.5,4.125,4
"blaupunkt","LCD",55,383.25,4.25,4
"blaupunkt","LCD (LED)",55,331,5,2
"blaupunkt","LCD (LED)",57,411.3333333333333,4.666666666666667,3
"blaupunkt","LCD (LED)",58,387.5,4.75,2
"blaupunkt","LCD (LED)",60,405,5,1
"blaupunkt","LCD",65,467,4.5,1
"blaupunkt","LCD (LED)",65,437,5.1,5
"blaupunkt","LCD (LED)",69,640,4,1
"blaupunkt","LCD",70,561,4.5,1
"blaupunkt","LCD (LED)",70,620,4,2
"blaupunkt","LCD (LED)",74,485,6,1
"blaupunkt","LCD",75,751.5,3.75,2
"blaupunkt","LCD (LED)",75,700.4,4.3,5
"blaupunkt","LCD",85,861.5,4.25,2
"blaupunkt","LCD (LED)",85,722,5,1
"blaupunkt","LCD (LED)",86,988,4,1
"blaupunkt","LCD (LED)",98,1284,4,1
"brooklyn","LCD (LED)",32,125,5,1
"caixun","LCD (LED)",24,68.76923076923076,5.8076923076923075,13
"caixun","LCD",32,98,6,4
"caixun","LCD (LED)",32,110.75000000000001,5.458333333333334,12
"caixun","LCD (LED)",38,138,6,6
"caixun","LCD",39,155,5.5,4
"caixun","LCD (LED)",40,151,6,6
"caixun","LCD (LED)",41,159,6,6
"caixun","LCD (LED)",42,162,6,6
"caixun","LCD",43,220,4.5,4
"caixun","LCD (LED)",43,196,5,9
"caixun","LCD (LED)",50,278,5,7
"caixun","LCD (LED)",55,307,5,7
"chiq","LCD",24,82,5,1
"chiq","LCD (LED)",24,80,5,2
"chiq","LCD (LED)",31,117.8,5.4,5
"chiq","LCD (LED)",32,133,4.75,2
"chiq","LCD (LED)",39,186.2,5,5
"chiq","LCD (LED)",42,231.33333333333334,4.666666666666667,3
"chiq","LCD (LED)",49,268.6666666666667,5,3
"chiq","LCD (LED)",55,358.25,4.5,4
"chiq","LCD (LED)",57,380,4.75,2
"chiq","LCD (LED)",64,500.2,4.6,5
"chiq","LCD (LED)",65,572,4,1
"chiq","LCD (LED)",70,481,5.5,1
"chiq","LCD",75,608,5,1
"chiq","LCD (LED)",75,519,5.5,2
"chiq","LCD (LED)",85,974,4,1
"chiq","LCD (LED)",97,1233,4,1
"chiq","LCD (LED)",98,1233,4,1
"concentric care","LCD (LED)",24,110,3.5,1
"devanti","LCD (LED)",32,101,6,1
"devanti","LCD (LED)",39,182,5,1
"devanti","LCD (LED)",50,276,5,1
"devanti","LCD (LED)",65,474.5,4.75,2
"devanti","LCD (LED)",75,760,4,1
"dgtec","LCD",39,149,6,1
"dgtec","LCD",55,256,6,1
"dgtec","LCD (LED)",55,251,6,1
"dgtec","LCD (LED)",65,366.5,6,2
"dynalink","LCD",24,76,5.5,1
"eko","LCD",24,78,5,1
"eko","LCD (LED)",24,90,4.5,2
"eko","LCD",31,130,5,1
"eko","LCD",32,124.5,5.25,2
"eko","LCD (LED)",32,129.77777777777777,4.888888888888889,9
"eko","LCD",40,182.33333333333334,5,3
"eko","LCD (LED)",40,189.25,4.875,4
"eko","LCD (LED)",41,230,4.5,2
"eko","LCD",42,260,3.5,1
"eko","LCD (LED)",42,220.5,4.5,4
"eko","LCD",43,191,5.5,1
"eko","LCD (LED)",43,212,5,1
